EVENT_ID,SERIES_ID,EVENT_NAME,EVENT_STATUS,ANNUAL_OR_RECURRING,FIRST_YEAR,CATEGORY,SUBCATEGORY,START_DATE,END_DATE,DAY_OF_WEEK,START_TIME,END_TIME,TIME_NOTES,BOROUGH,NEIGHBORHOOD,VENUE,FULL_ADDRESS,STREET_NAME,STREET_FROM,STREET_TO,CROSS_STREETS,ZIP_CODE,LATITUDE,LONGITUDE,GOOGLE_MAPS_URL,APPLE_MAPS_URL,NEAREST_SUBWAY,NEAREST_BUS,PARKING_NOTES,ADMISSION,TICKET_URL,ESTIMATED_ATTENDANCE,EXPECTED_CROWD,PHOTO_VALUE,NEWS_VALUE,BEST_SHOOTING_TIME,PHOTO_SUBJECTS,GOLDEN_HOUR_NOTES,BLUE_HOUR_NOTES,PRESS_CREDENTIAL_NOTES,DRONE_NOTES,LIVE_MUSIC,FOOD_VENDORS,RIDES,PARADE,PROCESSION,FIREWORKS,ORGANIZER,OFFICIAL_WEBSITE,OFFICIAL_SOCIAL_MEDIA,PERMIT_ID,PERMIT_AGENCY,PRIMARY_SOURCE,SECONDARY_SOURCE,ADDITIONAL_SOURCES,SOURCE_CONFIDENCE,LAST_VERIFIED,RESEARCH_NOTES
NYC-2026-BK-000001,MGP-FULTON-MALL-METROTECH-SUMMER-FAIR,Fulton Mall / MetroTech Summer Fair,Confirmed,Recurring organizer series,Unknown,Street Fair,Commercial / Community Street Fair,2026-07-16,2026-07-16,Thursday,10:00,18:00,Organizer schedule states all listed events are rain or shine from 10:00 AM to 6:00 PM.,Brooklyn,Downtown Brooklyn,Unknown,"Lawrence Street between Fulton Street and Willoughby Street, Brooklyn, New York",Lawrence Street,Fulton Street,Willoughby Street,Fulton Street / Willoughby Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Lawrence+Street+between+Fulton+Street+and+Willoughby+Street%2C+Brooklyn%2C+New+York,https://maps.apple.com/?q=Lawrence+Street+between+Fulton+Street+and+Willoughby+Street%2C+Brooklyn%2C+New+York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,Midday to late afternoon,Street life; vendors; neighborhood portraits,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Unknown,Unknown,Unknown,No,No,No,Mardi Gras Productions / NYC Street Fairs,https://nycstreetfairs.com/event-schedule/,Unknown,Unknown,Unknown,https://nycstreetfairs.com/wp-content/uploads/2026/07/2026-Vendor-Schedule-3RD-EDITION-NEW.pdf,Unknown,Unknown,High,2026-07-16,"Date, event name, street limits, and operating hours transcribed from the organizer's official 2026 schedule. Admission and programming details were not stated in the schedule."
NYC-2026-BK-000002,OLMC-GIGLIO-BROOKLYN,Our Lady of Mount Carmel Feast and Giglio,Confirmed,Annual / Returning,Unknown,Italian Feast,Religious feast / Giglio festival,2026-07-16,2026-07-19,Thursday–Sunday,Unknown,Unknown,"The full feast runs July 8–19, 2026; this record covers the portion remaining in the project date range.",Brooklyn,Williamsburg,Our Lady of Mount Carmel–Annunciation Parish area,"275 North 8th Street, Brooklyn, NY 11211",North 8th Street / Havemeyer Street area,Unknown,Unknown,Unknown,11211,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=275+North+8th+Street%2C+Brooklyn%2C+NY+11211,https://maps.apple.com/?q=275+North+8th+Street%2C+Brooklyn%2C+NY+11211,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Very large,5,4,Feast-day ceremonies and evening entertainment,Dancing Giglio; religious devotion; Italian-American culture; food; rides; crowds,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Yes,Yes,Yes,Yes,Yes,No,Our Lady of Mount Carmel Feast,https://www.olmcfeast.com/,Unknown,Unknown,Unknown,https://www.olmcfeast.com/feast,https://www.olmcfeast.com/,Unknown,High,2026-07-16,
NYC-2026-MN-000001,MGP-TIMES-SQUARE-SUMMER-FAIR,Times Square Summer Fair,Confirmed,Recurring organizer series,Unknown,Street Fair,Commercial / Community Street Fair,2026-07-18,2026-07-18,Saturday,10:00,18:00,Organizer schedule states all listed events are rain or shine from 10:00 AM to 6:00 PM.,Manhattan,Times Square,Unknown,"7th Avenue between West 47th Street and West 57th Street, Manhattan, New York",7th Avenue,West 47th Street,West 57th Street,West 47th Street / West 57th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=7th+Avenue+between+West+47th+Street+and+West+57th+Street%2C+Manhattan%2C+New+York,https://maps.apple.com/?q=7th+Avenue+between+West+47th+Street+and+West+57th+Street%2C+Manhattan%2C+New+York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Large,4,3,Midday to late afternoon,Street life; vendors; neighborhood portraits,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Unknown,Unknown,Unknown,No,No,No,Mardi Gras Productions / NYC Street Fairs,https://nycstreetfairs.com/event-schedule/,Unknown,Unknown,Unknown,https://nycstreetfairs.com/wp-content/uploads/2026/07/2026-Vendor-Schedule-3RD-EDITION-NEW.pdf,Unknown,Unknown,High,2026-07-16,"Date, event name, street limits, and operating hours transcribed from the organizer's official 2026 schedule. Admission and programming details were not stated in the schedule."
NYC-2026-MN-000002,MGP-LIBERTY-PARK-FAIR,Liberty Park Fair,Confirmed,Recurring organizer series,Unknown,Street Fair,Commercial / Community Street Fair,2026-07-22,2026-07-22,Wednesday,10:00,18:00,Organizer schedule states all listed events are rain or shine from 10:00 AM to 6:00 PM.,Manhattan,Financial District,Unknown,"Liberty Street sidewalk between Broadway and Trinity Place, Manhattan, New York",Liberty Street sidewalk,Broadway,Trinity Place,Broadway / Trinity Place,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Liberty+Street+sidewalk+between+Broadway+and+Trinity+Place%2C+Manhattan%2C+New+York,https://maps.apple.com/?q=Liberty+Street+sidewalk+between+Broadway+and+Trinity+Place%2C+Manhattan%2C+New+York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,Midday to late afternoon,Street life; vendors; neighborhood portraits,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Unknown,Unknown,Unknown,No,No,No,Mardi Gras Productions / NYC Street Fairs,https://nycstreetfairs.com/event-schedule/,Unknown,Unknown,Unknown,https://nycstreetfairs.com/wp-content/uploads/2026/07/2026-Vendor-Schedule-3RD-EDITION-NEW.pdf,Unknown,Unknown,High,2026-07-16,"Date, event name, street limits, and operating hours transcribed from the organizer's official 2026 schedule. Admission and programming details were not stated in the schedule."
NYC-2026-MN-000003,MGP-GRAND-CENTRAL-FOOD-BLOCK-PARTY-SERIES,Grand Central Food Block Party Series,Confirmed,Recurring organizer series,Unknown,Street Fair,Commercial / Community Street Fair,2026-07-23,2026-07-23,Thursday,10:00,18:00,Organizer schedule states all listed events are rain or shine from 10:00 AM to 6:00 PM.,Manhattan,Midtown East,Unknown,"East 41st Street between 3rd Avenue and Lexington Avenue, Manhattan, New York",East 41st Street,3rd Avenue,Lexington Avenue,3rd Avenue / Lexington Avenue,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=East+41st+Street+between+3rd+Avenue+and+Lexington+Avenue%2C+Manhattan%2C+New+York,https://maps.apple.com/?q=East+41st+Street+between+3rd+Avenue+and+Lexington+Avenue%2C+Manhattan%2C+New+York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,Midday to late afternoon,Street life; vendors; neighborhood portraits,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Unknown,Unknown,Unknown,No,No,No,Mardi Gras Productions / NYC Street Fairs,https://nycstreetfairs.com/event-schedule/,Unknown,Unknown,Unknown,https://nycstreetfairs.com/wp-content/uploads/2026/07/2026-Vendor-Schedule-3RD-EDITION-NEW.pdf,Unknown,Unknown,High,2026-07-16,"Date, event name, street limits, and operating hours transcribed from the organizer's official 2026 schedule. Admission and programming details were not stated in the schedule."
NYC-2026-MN-000004,BATTERY-DANCE-FESTIVAL-2026,Battery Dance Festival – Opening Performance,Confirmed,Annual / Returning,Unknown,Dance Festival,Free outdoor dance performance / workshop,2026-07-25,2026-07-25,Saturday,Unknown,Unknown,Official festival page confirms a free July 25 performance.,Manhattan,Battery Park City,Robert F. Wagner Jr. Park,"20 Battery Place, New York, NY 10280",Battery Place,1st Place,West Street,1st Place / West Street,10280,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=20+Battery+Place%2C+New+York%2C+NY+10280,https://maps.apple.com/?q=20+Battery+Place%2C+New+York%2C+NY+10280,Unknown,Unknown,Unknown,Free,Unknown,Unknown,Large,5,3,Golden hour through evening performance,International dance; performers; waterfront; audience; sunset,Strong sunset/backlight potential at waterfront venue; weather dependent.,Evening stage and skyline opportunities.,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Yes,Unknown,No,No,No,No,Battery Dance,https://batterydance.org/battery-dance-festival/,Unknown,Unknown,Unknown,https://batterydance.org/battery-dance-festival/,https://batterydance.org/battery-dance-festival/,Unknown,High,2026-07-16,
NYC-2026-MN-000005,MGP-HELL-S-KITCHEN-SUMMER-SPECTACULAR,Hell's Kitchen Summer Spectacular,Confirmed,Recurring organizer series,Unknown,Street Fair,Commercial / Community Street Fair,2026-07-25,2026-07-25,Saturday,10:00,18:00,Organizer schedule states all listed events are rain or shine from 10:00 AM to 6:00 PM.,Manhattan,Hell's Kitchen,Unknown,"8th Avenue between West 42nd Street and West 54th Street, Manhattan, New York",8th Avenue,West 42nd Street,West 54th Street,West 42nd Street / West 54th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=8th+Avenue+between+West+42nd+Street+and+West+54th+Street%2C+Manhattan%2C+New+York,https://maps.apple.com/?q=8th+Avenue+between+West+42nd+Street+and+West+54th+Street%2C+Manhattan%2C+New+York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Large,4,3,Midday to late afternoon,Street life; vendors; neighborhood portraits,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Unknown,Unknown,Unknown,No,No,No,Mardi Gras Productions / NYC Street Fairs,https://nycstreetfairs.com/event-schedule/,Unknown,Unknown,Unknown,https://nycstreetfairs.com/wp-content/uploads/2026/07/2026-Vendor-Schedule-3RD-EDITION-NEW.pdf,Unknown,Unknown,High,2026-07-16,"Date, event name, street limits, and operating hours transcribed from the organizer's official 2026 schedule. Admission and programming details were not stated in the schedule."
NYC-2026-QN-000001,NYC-SUMMER-STREETS-2026,NYC Summer Streets,Confirmed,Annual / Returning,Unknown,Open Streets,City-sponsored car-free streets program,2026-07-25,2026-07-25,Saturday,09:00,17:00,Rain or shine. Route and hours confirmed by NYC DOT.,Queens,Long Island City / Astoria,Unknown,"Vernon Boulevard between 44th Drive and 30th Road, Queens, New York",Vernon Boulevard,44th Drive,30th Road,44th Drive / 30th Road,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Vernon+Boulevard+between+44th+Drive+and+30th+Road%2C+Queens%2C+New+York,https://maps.apple.com/?q=Vernon+Boulevard+between+44th+Drive+and+30th+Road%2C+Queens%2C+New+York,Unknown,Unknown,Unknown,Free,Unknown,Unknown,Very large,5,4,Opening hour and peak programming periods,Cyclists; runners; families; public art; performances; car-free streets,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Yes,Unknown,No,No,No,No,NYC Department of Transportation,https://www.nyc.gov/html/dot/html/pedestrians/summerstreets.shtml,Unknown,Unknown,NYC DOT,https://www.nyc.gov/html/dot/html/pedestrians/summerstreets.shtml,https://www.nyc.gov/html/dot/html/pr2026/summer-streets-to-return-to-all-five-boroughs.shtml,Unknown,High,2026-07-16,
NYC-2026-SI-000001,NYC-SUMMER-STREETS-2026,NYC Summer Streets,Confirmed,Annual / Returning,Unknown,Open Streets,City-sponsored car-free streets program,2026-07-25,2026-07-25,Saturday,09:00,17:00,Rain or shine. Route and hours confirmed by NYC DOT.,Staten Island,West Brighton,Unknown,"Broadway between Harvest Avenue and Richmond Terrace, Staten Island, New York",Broadway,Harvest Avenue,Richmond Terrace,Harvest Avenue / Richmond Terrace,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Broadway+between+Harvest+Avenue+and+Richmond+Terrace%2C+Staten+Island%2C+New+York,https://maps.apple.com/?q=Broadway+between+Harvest+Avenue+and+Richmond+Terrace%2C+Staten+Island%2C+New+York,Unknown,Unknown,Unknown,Free,Unknown,Unknown,Very large,5,4,Opening hour and peak programming periods,Cyclists; runners; families; public art; performances; car-free streets,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Yes,Unknown,No,No,No,No,NYC Department of Transportation,https://www.nyc.gov/html/dot/html/pedestrians/summerstreets.shtml,Unknown,Unknown,NYC DOT,https://www.nyc.gov/html/dot/html/pedestrians/summerstreets.shtml,https://www.nyc.gov/html/dot/html/pr2026/summer-streets-to-return-to-all-five-boroughs.shtml,Unknown,High,2026-07-16,
NYC-2026-MN-000006,MGP-LEXINGTON-AVENUE-SUMMERFEST,Lexington Avenue Summerfest,Confirmed,Recurring organizer series,Unknown,Street Fair,Commercial / Community Street Fair,2026-07-26,2026-07-26,Sunday,10:00,18:00,Organizer schedule states all listed events are rain or shine from 10:00 AM to 6:00 PM.,Manhattan,Midtown East,Unknown,"Lexington Avenue between East 42nd Street and East 57th Street, Manhattan, New York",Lexington Avenue,East 42nd Street,East 57th Street,East 42nd Street / East 57th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Lexington+Avenue+between+East+42nd+Street+and+East+57th+Street%2C+Manhattan%2C+New+York,https://maps.apple.com/?q=Lexington+Avenue+between+East+42nd+Street+and+East+57th+Street%2C+Manhattan%2C+New+York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Large,4,3,Midday to late afternoon,Street life; vendors; neighborhood portraits,Unknown,Unknown,Public event; standard editorial practice,Follow FAA and NYC launch/landing restrictions; event-specific authorization unknown,Unknown,Unknown,Unknown,No,No,No,Mardi Gras Productions / NYC Street Fairs,https://nycstreetfairs.com/event-schedule/,Unknown,Unknown,Unknown,https://nycstreetfairs.com/wp-content/uploads/2026/07/2026-Vendor-Schedule-3RD-EDITION-NEW.pdf,Unknown,Unknown,High,2026-07-16,"Date, event name, street limits, and operating hours transcribed from the organizer's official 2026 schedule. Admission and programming details were not stated in the schedule."
