DOMAIN,PRIMARY_SOURCE_RECORD_COUNT,RECOMMENDED_REFRESH
nycgovparks.org,82,daily
nycstreetfairs.com,73,every_3_days
snug-harbor.org,53,every_3_days
wheelfunrentals.com,50,every_3_days
queensbotanical.org,47,every_3_days
govisland.com,45,every_3_days
queensfarm.org,37,every_3_days
data.cityofnewyork.us,36,daily
bbg.org,35,every_3_days
smorgasburg.com,30,every_3_days
lincolncenter.org,30,every_3_days
grandbazaarnyc.org,22,every_3_days
historicrichmondtown.org,21,every_3_days
brooklynbridgepark.org,19,weekly
brooklynarmyterminal.com,18,weekly
movingimage.org,15,weekly
vendors.clearviewfestival.com,14,weekly
queenslibrary.org,14,weekly
queensnightmarket.com,13,weekly
wavehill.org,13,weekly
nyc.gov,12,daily
bricartsmedia.org,12,weekly
bronxlittleitaly.com,11,weekly
bronxzoo.com,10,weekly
hudsonriverpark.org,9,weekly
batterydance.org,8,weekly
nybg.org,8,weekly
rockefellercenter.com,8,weekly
streetfairsny.com,6,weekly
amnh.org,6,weekly
queensmuseum.org,5,weekly
ridgewood-ny.com,4,weekly
bklynlibrary.org,4,weekly
fianynjct.org,3,weekly
timessquarenyc.org,3,weekly
usopen.org,3,weekly
brooklynbookfestival.org,3,weekly
cityparksfoundation.org,3,weekly
globalcitizen.org,2,weekly
angelsonthebay.org,2,weekly
fiaobrooklyn.org,2,weekly
germanparadenyc.org,2,weekly
africanamericandayparade.org,2,weekly
pulaskiparade.org,2,weekly
chabadparkslope.com,2,weekly
nypl.org,2,weekly
olmcfeast.com,1,weekly
harlemweek.org,1,weekly
eastharlemgiglio.org,1,weekly
hkdbf-ny.org,1,weekly
brightonbeach.com,1,weekly
wiadcacarnival.org,1,weekly
sangennaronyc.org,1,weekly
atlanticave.org,1,weekly
columbuscitizens.org,1,weekly
halloween-nyc.com,1,weekly
nyrr.org,1,weekly
grandcentralterminal.com,1,weekly
bronxnightmarket.com,1,weekly
russosonthebay.com,1,weekly
climateweeknyc.org,1,weekly
filmlinc.org,1,weekly
woodhavenbid.org,1,weekly
newyorkcomiccon.com,1,weekly
nycwff.org,1,weekly
ohny.org,1,weekly
macys.com,1,weekly
macysinc.com,1,weekly
bryantpark.org,1,weekly
urbanspacemarkets.com,1,weekly
nyaquarium.com,1,weekly
events.teenvogue.com,1,weekly
