POSITION,COLUMN
1,EVENT_ID
2,SERIES_ID
3,EVENT_NAME
4,EVENT_STATUS
5,ANNUAL_OR_RECURRING
6,FIRST_YEAR
7,CATEGORY
8,SUBCATEGORY
9,START_DATE
10,END_DATE
11,DAY_OF_WEEK
12,START_TIME
13,END_TIME
14,TIME_NOTES
15,BOROUGH
16,NEIGHBORHOOD
17,VENUE
18,FULL_ADDRESS
19,STREET_NAME
20,STREET_FROM
21,STREET_TO
22,CROSS_STREETS
23,ZIP_CODE
24,LATITUDE
25,LONGITUDE
26,GOOGLE_MAPS_URL
27,APPLE_MAPS_URL
28,NEAREST_SUBWAY
29,NEAREST_BUS
30,PARKING_NOTES
31,ADMISSION
32,TICKET_URL
33,ESTIMATED_ATTENDANCE
34,EXPECTED_CROWD
35,PHOTO_VALUE
36,NEWS_VALUE
37,BEST_SHOOTING_TIME
38,PHOTO_SUBJECTS
39,GOLDEN_HOUR_NOTES
40,BLUE_HOUR_NOTES
41,PRESS_CREDENTIAL_NOTES
42,DRONE_NOTES
43,LIVE_MUSIC
44,FOOD_VENDORS
45,RIDES
46,PARADE
47,PROCESSION
48,FIREWORKS
49,ORGANIZER
50,OFFICIAL_WEBSITE
51,OFFICIAL_SOCIAL_MEDIA
52,PERMIT_ID
53,PERMIT_AGENCY
54,PRIMARY_SOURCE
55,SECONDARY_SOURCE
56,ADDITIONAL_SOURCES
57,SOURCE_CONFIDENCE
58,LAST_VERIFIED
59,RESEARCH_NOTES
