review_rank,manual_review_status,promotion_allowed,display_location,borough,event_count,priority_score,proposed_lat,proposed_lng,geocoder_source,geocoder_confidence,confidence_reason,google_maps_search_url,google_maps_pin_url,manual_review_notes,approval_decision_reason,manual_reviewer,manual_reviewed_at_utc,group_key,geocoder_place_id
1,pending,False,Macombs Dam Park: Basketball-04,Bronx,23,24,40.82701,-73.92779,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Macombs+Dam+Park%3A+Basketball-04%2C+Bronx%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.82701%2C-73.92779,,,,,bronx|macombs dam park basketball 04,cemsid:bronx:10754
2,pending,False,Martin Luther King Jr. Playground: Basketball-02,Brooklyn,20,21,40.66769,-73.89043,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Martin+Luther+King+Jr.+Playground%3A+Basketball-02%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.66769%2C-73.89043,,,,,brooklyn|martin luther king jr playground basketball 02,cemsid:brooklyn:11156
3,pending,False,Riverside Park South: 71st St South-Basketball-14,Manhattan,20,21,40.77947,-73.98899,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Riverside+Park+South%3A+71st+St+South-Basketball-14%2C+Manhattan%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.77947%2C-73.98899,,,,,manhattan|riverside park south 71st st south basketball 14,cemsid:manhattan:10074
4,pending,False,Baisley Pond Park: Cricket-04,Queens,17,20,40.67603,-73.78544,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Baisley+Pond+Park%3A+Cricket-04%2C+Queens%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.67603%2C-73.78544,,,,,queens|baisley pond park cricket 04,cemsid:queens:11873
5,pending,False,Forest Park: Tennis-05,Queens,17,19,40.70368,-73.8535,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Forest+Park%3A+Tennis-05%2C+Queens%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.70368%2C-73.8535,,,,,queens|forest park tennis 05,cemsid:queens:10180
6,pending,False,Forest Park: Tennis-06,Queens,17,19,40.70368,-73.8535,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Forest+Park%3A+Tennis-06%2C+Queens%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.70368%2C-73.8535,,,,,queens|forest park tennis 06,cemsid:queens:10180
7,pending,False,Forest Park: Tennis-07,Queens,17,19,40.70368,-73.8535,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Forest+Park%3A+Tennis-07%2C+Queens%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.70368%2C-73.8535,,,,,queens|forest park tennis 07,cemsid:queens:10180
8,pending,False,Roy Wilkins Park: Tennis-03,Queens,17,19,40.68791,-73.77205,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Roy+Wilkins+Park%3A+Tennis-03%2C+Queens%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.68791%2C-73.77205,,,,,queens|roy wilkins park tennis 03,cemsid:queens:11848
9,pending,False,Roy Wilkins Park: Tennis-02,Queens,17,19,40.68791,-73.77205,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Roy+Wilkins+Park%3A+Tennis-02%2C+Queens%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.68791%2C-73.77205,,,,,queens|roy wilkins park tennis 02,cemsid:queens:11848
10,pending,False,Washington Park (MS 51): South Asphalt Plaza,Brooklyn,17,18,40.85572,-73.89369,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Washington+Park+%28MS+51%29%3A+South+Asphalt+Plaza%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.85572%2C-73.89369,,,,,brooklyn|washington park ms 51 south asphalt plaza,cemsid:brooklyn:10424
11,pending,False,"Canarsie Park: Softball-05   ,Canarsie Park: Softball-06",Brooklyn,17,18,40.62734,-73.8957,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Canarsie+Park%3A+Softball-05+++%2CCanarsie+Park%3A+Softball-06%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.62734%2C-73.8957,,,,,brooklyn|canarsie park softball 05 canarsie park softball 06,cemsid:brooklyn:11317
12,pending,False,"Gonzalo Plasencia Playground (JHS 136): Softball-01   ,Gonzalo Plasencia Playground (JHS 136): Handball-01",Brooklyn,17,18,40.65259,-74.00842,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Gonzalo+Plasencia+Playground+%28JHS+136%29%3A+Softball-01+++%2CGonzalo+Plasencia+Playground+%28JHS+136%29%3A+Handball-01%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.65259%2C-74.00842,,,,,brooklyn|gonzalo plasencia playground jhs 136 softball 01 gonzalo plasencia playground jhs 136 handball 01,cemsid:brooklyn:5219
13,pending,False,"Rappaport Playground: Rappaport Playground   ,Rappaport Playground: Handball-01",Brooklyn,17,18,40.63697,-74.00069,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Rappaport+Playground%3A+Rappaport+Playground+++%2CRappaport+Playground%3A+Handball-01%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63697%2C-74.00069,,,,,brooklyn|rappaport playground rappaport playground rappaport playground handball 01,cemsid:brooklyn:8012
14,pending,False,"Shore Road Park and Parkway: 79th St Fields-Softball-01 ,Shore Road Park and Parkway: 79th St Fields-Softball-02",Brooklyn,17,18,40.65534,-73.88662,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Shore+Road+Park+and+Parkway%3A+79th+St+Fields-Softball-01+%2CShore+Road+Park+and+Parkway%3A+79th+St+Fields-Softball-02%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.65534%2C-73.88662,,,,,brooklyn|shore road park and parkway 79th st fields softball 01 shore road park and parkway 79th st fields softball 02,cemsid:brooklyn:9509
15,pending,False,"St. John's Park: Buddy Keaton-Softball-01   ,St. John's Park: Buddy Keaton-Softball-02",Brooklyn,17,18,40.67437,-73.93475,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=St.+John%27s+Park%3A+Buddy+Keaton-Softball-01+++%2CSt.+John%27s+Park%3A+Buddy+Keaton-Softball-02%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.67437%2C-73.93475,,,,,brooklyn|st john s park buddy keaton softball 01 st john s park buddy keaton softball 02,cemsid:brooklyn:10509
16,pending,False,Gravesend Park: Lawn Area,Brooklyn,17,18,40.62356,-73.98434,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Gravesend+Park%3A+Lawn+Area%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.62356%2C-73.98434,,,,,brooklyn|gravesend park lawn area,cemsid:brooklyn:7804
17,pending,False,McDonald Playground: Tennis-01,Brooklyn,17,18,40.60056,-73.9721,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=McDonald+Playground%3A+Tennis-01%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.60056%2C-73.9721,,,,,brooklyn|mcdonald playground tennis 01,cemsid:brooklyn:10001
18,pending,False,McDonald Playground: Tennis-02,Brooklyn,17,18,40.60056,-73.9721,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=McDonald+Playground%3A+Tennis-02%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.60056%2C-73.9721,,,,,brooklyn|mcdonald playground tennis 02,cemsid:brooklyn:10001
19,pending,False,McDonald Playground: Tennis-03,Brooklyn,17,18,40.60056,-73.9721,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=McDonald+Playground%3A+Tennis-03%2C+Brooklyn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.60056%2C-73.9721,,,,,brooklyn|mcdonald playground tennis 03,cemsid:brooklyn:10001
20,pending,False,Fort Washington Park: Basketball-02,Manhattan,17,18,40.84245,-73.947,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Fort+Washington+Park%3A+Basketball-02%2C+Manhattan%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.84245%2C-73.947,,,,,manhattan|fort washington park basketball 02,cemsid:manhattan:10982
21,pending,False,De Witt Clinton Park: Soccer-01A,Manhattan,17,18,40.76819,-73.99429,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=De+Witt+Clinton+Park%3A+Soccer-01A%2C+Manhattan%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.76819%2C-73.99429,,,,,manhattan|de witt clinton park soccer 01a,cemsid:manhattan:12275
22,pending,False,Fort Washington Park: 163rd St-Soccer-01,Manhattan,17,18,40.84245,-73.947,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Fort+Washington+Park%3A+163rd+St-Soccer-01%2C+Manhattan%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.84245%2C-73.947,,,,,manhattan|fort washington park 163rd st soccer 01,cemsid:manhattan:10982
23,pending,False,Fort Washington Park: Tennis-01,Manhattan,17,18,40.84245,-73.947,existing_location_cache_place_memory,medium,Matched broad place name from existing NYCIF location cache. Requires manual approval before promotion.,https://www.google.com/maps/search/?api=1&query=Fort+Washington+Park%3A+Tennis-01%2C+Manhattan%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.84245%2C-73.947,,,,,manhattan|fort washington park tennis 01,cemsid:manhattan:10982
