checklist_id,story_headline,story_lane,date,start_time,end_time,borough,route_or_location,editorial_priority,news_desk_status,confidence,assignment_score,permit_event_id,field_desk_link,coordinate_status
tvpp-9vvx:936942@2026-07-16,World Cup Activation,pop_up_street_activation,2026-07-16,08:00,20:00,Bronx,Lou Gehrig Plaza: Lou Gehrig Plaza E. 161st Street between Walton Ave and Grand Concourse,highest,unchecked,permit_confirmed,580,936942,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-16&borough=Bronx,map_ready
tvpp-9vvx:936942@2026-07-17,World Cup Activation,pop_up_street_activation,2026-07-17,08:00,20:00,Bronx,Lou Gehrig Plaza: Lou Gehrig Plaza E. 161st Street between Walton Ave and Grand Concourse,highest,unchecked,permit_confirmed,580,936942,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-17&borough=Bronx,map_ready
tvpp-9vvx:936942@2026-07-18,World Cup Activation,pop_up_street_activation,2026-07-18,08:00,20:00,Bronx,Lou Gehrig Plaza: Lou Gehrig Plaza E. 161st Street between Walton Ave and Grand Concourse,highest,unchecked,permit_confirmed,580,936942,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Bronx,map_ready
tvpp-9vvx:936942@2026-07-19,World Cup Activation,pop_up_street_activation,2026-07-19,08:00,20:00,Bronx,Lou Gehrig Plaza: Lou Gehrig Plaza E. 161st Street between Walton Ave and Grand Concourse,highest,unchecked,permit_confirmed,580,936942,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-19&borough=Bronx,map_ready
tvpp-9vvx:957666@2026-07-28,Rally-Demonstration,parade_march,2026-07-28,13:00,15:00,Manhattan,Dag Hammarskjold Plaza: First Avenue Plaza,highest,unchecked,permit_confirmed,520,957666,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-28&borough=Manhattan,map_ready
tvpp-9vvx:933766@2026-07-29,High School Choir Concert and Block Party,pop_up_street_activation,2026-07-29,16:00,18:00,Brooklyn,Irving Square Park: Plaza,highest,unchecked,permit_confirmed,510,933766,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-29&borough=Brooklyn,map_ready
tvpp-9vvx:944905@2026-08-04,CDP Democratic Marathon Protests,fan_zone_major_civic,2026-08-04,13:30,15:00,Manhattan,Dag Hammarskjold Plaza: First Avenue Plaza,highest,unchecked,permit_confirmed,490,944905,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-04&borough=Manhattan,map_ready
tvpp-9vvx:952988@2026-07-16,FIFA NYSE EVENT,parade_march,2026-07-16,11:30,14:30,Manhattan,BROAD STREET between WALL STREET and EXCHANGE PLACE,highest,unchecked,permit_confirmed,420,952988,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-16&borough=Manhattan,map_ready
tvpp-9vvx:955017@2026-07-18,Ranger Games: Nature World Cup,parade_march,2026-07-18,13:00,15:00,Bronx,Pelham Bay Park and Orchard Beach: Orchard Beach Nature Center,highest,unchecked,permit_confirmed,420,955017,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Bronx,map_ready
tvpp-9vvx:923368@2026-07-18,FIFA Match Blackout Date,parade_march,2026-07-18,08:00,22:00,Manhattan,St. Nicholas Park: West 135th Street James Baldwin Lawn,highest,unchecked,permit_confirmed,420,923368,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Manhattan,map_ready
tvpp-9vvx:931521@2026-07-19,World Cup Family fun on 9th St,parade_march,2026-07-19,12:00,18:00,Brooklyn,9 STREET between 5 AVENUE and 6 AVENUE,highest,unchecked,permit_confirmed,420,931521,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-19&borough=Brooklyn,map_ready
tvpp-9vvx:923368@2026-07-19,FIFA Match Blackout Date,parade_march,2026-07-19,08:00,22:00,Manhattan,St. Nicholas Park: West 135th Street James Baldwin Lawn,highest,unchecked,permit_confirmed,420,923368,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-19&borough=Manhattan,map_ready
tvpp-9vvx:940298@2026-07-19,FIFA 2026,parade_march,2026-07-19,12:00,18:00,Staten Island,Franklin D Roosevelt Boardwalk and Beach: Parking Lot 7 ? Soccer Field,highest,unchecked,permit_confirmed,420,940298,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-19&borough=Staten%20Island,map_ready
tvpp-9vvx:941491@2026-07-17,Citywide Soccer Festival,pop_up_street_activation,2026-07-17,17:30,19:30,Bronx,"Reverend T. Wendell Foster Park: Reverend T. Wendell Foster   ,Reverend T. Wendell Foster Park: Soccer-01 ,Reverend T. Wendell Foster Park: Soccer-02",highest,unchecked,permit_confirmed,400,941491,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-17&borough=Bronx,map_ready
tvpp-9vvx:954837@2026-07-17,4th Annual Pride Ball on the Highbridge,fan_zone_major_civic,2026-07-17,14:00,17:00,Manhattan,Highbridge Park: Water Tower Terrace,highest,unchecked,permit_confirmed,400,954837,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-17&borough=Manhattan,map_ready
tvpp-9vvx:934225@2026-07-17,GTC Festival Part 2,pop_up_street_activation,2026-07-17,17:00,21:00,Queens,Rockaway Beach and Boardwalk: Beach 94th Street,highest,unchecked,permit_confirmed,400,934225,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-17&borough=Queens,map_ready
tvpp-9vvx:946096@2026-07-18,Ambassadors of Christ Street Fair,pop_up_street_activation,2026-07-18,13:00,17:30,Bronx,Van Nest Park: Van Nest Park,highest,unchecked,permit_confirmed,400,946096,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Bronx,map_ready
tvpp-9vvx:949240@2026-07-18,Disability Pride Month: Accessible Nature Hike,fan_zone_major_civic,2026-07-18,13:00,14:00,Bronx,Van Cortlandt Park: Nature Center Garden,highest,unchecked,permit_confirmed,400,949240,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Bronx,map_ready
title:disability pride month: accessible nature hike@2026-07-18@bronx,Disability Pride Month: Accessible Nature Hike,fan_zone_major_civic,2026-07-18,13:00,14:00,Bronx,Van Cortlandt Nature Center in Van Cortlandt Park,highest,unchecked,provisional,400,,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Bronx,list_only
tvpp-9vvx:933833@2026-07-18,Hope festival outreach.,pop_up_street_activation,2026-07-18,11:00,15:00,Bronx,Bronx Park: Comras Mall,highest,unchecked,permit_confirmed,400,933833,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Bronx,map_ready
tvpp-9vvx:1110076@2026-07-18,The 15th Annual Bronx Pride Festival And Health Fair,pop_up_street_activation,2026-07-18,11:00,,Bronx,Crotona Park Amphitheater in Crotona Park,highest,unchecked,permit_confirmed,400,1110076,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Bronx,map_ready
tvpp-9vvx:929631@2026-07-18,Brownsville Old Timer's Parade,parade_march,2026-07-18,12:00,16:30,Brooklyn,"PITKIN AVENUE between SARATOGA AVENUE and GRAFTON STREET,  PITKIN AVENUE between MOTHER GASTON BOULEVARD and SARATOGA AVENUE,  MOTHER GASTON BOULEVARD between NEW LOTS AVENUE and PITKIN AVENUE,  NEW LOTS AVENUE between SACKMAN STREET and MOTHER GASTON BOULEVARD,  SACKMAN STREET between NEW LOTS AVENUE and HEGEMAN AVENUE, Brownsville Recreation Center Playground: Brownsville Playground ,Brownsville Recreation Center Playground: Brownsville Playground",highest,unchecked,permit_confirmed,400,929631,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Brooklyn,map_ready
title:brownsville old timer's parade@2026-07-18@brooklyn,Brownsville Old Timer's Parade,parade_march,2026-07-18,12:00,16:30,Brooklyn,PITKIN AVENUE between SARATOGA AVENUE and GRAFTON STREET  Brooklyn,highest,unchecked,provisional,400,,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Brooklyn,list_only
tvpp-9vvx:942854@2026-07-18,Citywide Soccer Festival,pop_up_street_activation,2026-07-18,12:00,15:00,Brooklyn,"Glenwood Playground: Adult Fitness Area   ,Glenwood Playground: Soccer-01",highest,unchecked,permit_confirmed,400,942854,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Brooklyn,map_ready
tvpp-9vvx:912342@2026-07-18,Community festival 2026,pop_up_street_activation,2026-07-18,11:00,17:00,Manhattan,"Jacob H. Schiff Playground: Soccer-01   ,Jacob H. Schiff Playground: Softball-01",highest,unchecked,permit_confirmed,400,912342,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Manhattan,map_ready
tvpp-9vvx:932833@2026-07-18,St. Catherine of Genoa Festival,pop_up_street_activation,2026-07-18,10:00,17:00,Manhattan,WEST  153 STREET between BROADWAY and AMSTERDAM AVENUE,highest,unchecked,permit_confirmed,400,932833,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Manhattan,map_ready
title:disability pride month: accessible nature hike@2026-07-18@multi-borough,Disability Pride Month: Accessible Nature Hike,fan_zone_major_civic,2026-07-18,13:00,14:00,Multi-borough,Van Cortlandt Nature Center (in Van Cortlandt Park),highest,unchecked,provisional,400,,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18,list_only
tvpp-9vvx:2195486@2026-07-18,The 15th Annual Bronx Pride Festival And Health Fair,pop_up_street_activation,2026-07-18,11:00,,Multi-borough,Crotona Park Amphitheater (in Crotona Park),highest,unchecked,permit_confirmed,400,2195486,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18,map_ready
tvpp-9vvx:957082@2026-07-18,15th Annual Trans Latina March,parade_march,2026-07-18,18:00,19:00,Queens,"ROOSEVELT AVENUE between NATIONAL STREET and 104 STREET,  ROOSEVELT AVENUE between NATIONAL STREET and 97 STREET,  97 STREET between ROOSEVELT AVENUE and 37 AVENUE,  37 AVENUE between 97 STREET and JUNCTION BOULEVARD,  JUNCTION BOULEVARD between 37 AVENUE and ROOSEVELT AVENUE,  ROOSEVELT AVENUE between JUNCTION BOULEVARD and NATIONAL STREET,  ROOSEVELT AVENUE between NATIONAL STREET and 104 STREET",highest,unchecked,permit_confirmed,400,957082,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Queens,map_ready
tvpp-9vvx:944360@2026-07-18,Community March,parade_march,2026-07-18,16:30,18:00,Queens,"150-15 116 DRIVE, SUTPHIN BOULEVARD between FOCH BOULEVARD and 116 DRIVE, 150-15 116 DRIVE, FOCH BOULEVARD between SUTPHIN BOULEVARD and 155 STREET",highest,unchecked,permit_confirmed,400,944360,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Queens,map_ready
tvpp-9vvx:923900@2026-07-18,Goodhaven Percussion Festival featuringYowana Sari Gamelan Ensemble.,pop_up_street_activation,2026-07-18,15:00,19:00,Queens,Forest Park: Bandshell and Seating,highest,unchecked,permit_confirmed,400,923900,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Queens,map_ready
tvpp-9vvx:906192@2026-07-18,Prayer Vigil - Religious event - July 1 - July 18 - July 25,parade_march,2026-07-18,16:30,23:30,Queens,Flushing Meadows Corona Park: Vatican Pavillion,highest,unchecked,permit_confirmed,400,906192,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-18&borough=Queens,map_ready
tvpp-9vvx:935158@2026-07-19,Our Lady of Mt. Carmel Feast 2026,religious_procession_feast,2026-07-19,13:30,14:30,Bronx,"627 EAST  187 STREET, EAST  187 STREET between BELMONT AVENUE and HUGHES AVENUE,  EAST  187 STREET between HUGHES AVENUE and ARTHUR AVENUE,  ARTHUR AVENUE between EAST  187 STREET and CRESCENT AVENUE,  ARTHUR AVENUE between CRESCENT AVENUE and QUARRY ROAD,  EAST  182 STREET between HUGHES AVENUE and BELMONT AVENUE,  BELMONT AVENUE between EAST  183 STREET and CRESCENT AVENUE,  CRESCENT AVENUE between EAST  187 STREET and ARTHUR AVENUE,  EAST  187 STREET between CAMBRELENG AVENUE and BELMONT AVENUE, 627 EAST  187 STREET",highest,unchecked,permit_confirmed,400,935158,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-19&borough=Bronx,map_ready
