review_rank,overlap_key,title,start_date_time,address,boroughs,categories,parks_title_date_match,proposed_lat,proposed_lng,coord_proposal_source,coord_proposal_confidence,coord_proposal_reason,google_maps_search_url,google_maps_pin_url,manual_review_status,promotion_allowed,manual_review_notes,approval_decision_reason,source_event_id,permalink
1,07 24 wingate in person care captain training|2026-07-24,07\/24 Wingate In-Person Care Captain Training,2026-07-24T10:00:00.000-04:00,Playground in Hamilton Metz Field,['Bk'],['Parks & Recreation'],True,40.662422915957,-73.940331399441,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Playground+in+Hamilton+Metz+Field%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.662422915957%2C-73.940331399441,pending,False,,,1051696,https://www1.nyc.gov/events/0724-wingate-in-person-care-captain-training/1051696/1
2,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-16,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-16T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1051996,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1051996/1
3,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-17,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-17T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1052016,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1052016/1
4,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-20,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-20T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1052036,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1052036/1
5,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-21,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-21T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1051716,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1051716/1
6,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-22,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-22T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1051736,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1051736/1
7,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-23,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-23T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1051756,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1051756/1
8,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-24,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-24T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1051776,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1051776/1
9,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-27,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-27T09:00:00.000-04:00,Arsenal in Central Park,['Mn'],['Parks & Recreation'],True,40.767200469971,-73.971298217773,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Arsenal+in+Central+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,1051796,https://www1.nyc.gov/events/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian/1051796/1
10,7 17 restoration fridays at highland park|2026-07-17,7\/17 Restoration Fridays at Highland Park,2026-07-17T10:00:00.000-04:00,Vermont Place Parking Lot in Highland Park,['Qn'],['Parks & Recreation'],True,40.686199188232,-73.889801025391,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Vermont+Place+Parking+Lot+in+Highland+Park%2C+Qn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.686199188232%2C-73.889801025391,pending,False,,,1052076,https://www1.nyc.gov/events/717-restoration-fridays-at-highland-park/1052076/1
