review_rank,intake_type,manual_review_status,promotion_allowed,title,start_date_time,display_location,borough,proposed_lat,proposed_lng,geocoder_source,geocoder_confidence,confidence_reason,parks_title_date_match,calendar_title_date_match,has_coordinates,google_maps_search_url,google_maps_pin_url,manual_review_notes,approval_decision_reason,manual_reviewer,manual_reviewed_at_utc,overlap_key,source_event_id
1,parks_only,approved,False,Adult Hike - Reed&#8217;s Basket Willow Park,2026-07-16T11:00 am,Spring Street,,40.6047352,-74.0916944,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=Spring+Street%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.6047352%2C-74.0916944,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,adult hike reed 8217 s basket willow park|2026-07-16,2209840
2,parks_only,rejected,False,CANCELED: Full Body Circuit Training,2026-07-16T6:30 pm,Dance Room (in Chelsea Recreation Center),,40.74829865,-74.00219727,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=Dance+Room+%28in+Chelsea+Recreation+Center%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.74829865%2C-74.00219727,Batch 1 auto-reject — canceled event.,Canceled per Parks feed title (CANCELED: Full Body Circuit Training).,Howard Weiss,2026-07-17T20:00:56.361721+00:00,canceled full body circuit training|2026-07-16,2153108
3,parks_only,rejected,False,CANCELED: Functional Yoga ,2026-07-16T1:00 pm,New York Public Library - Morningside Heights Branch,,40.806144714355,-73.964828491211,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=New+York+Public+Library+-+Morningside+Heights+Branch%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.806144714355%2C-73.964828491211,Batch 1 auto-reject — canceled event.,Canceled per Parks feed title (CANCELED: Functional Yoga).,Howard Weiss,2026-07-17T20:00:56.361721+00:00,canceled functional yoga|2026-07-16,2191590
4,parks_only,approved,False,Dance Fusion,2026-07-16T6:30 pm,Gymnasium (in Julio Carballo Fields),,40.814910128999,-73.889116707316,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=Gymnasium+%28in+Julio+Carballo+Fields%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.814910128999%2C-73.889116707316,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,dance fusion|2026-07-16,2211477
5,parks_only,approved,False,Trail Work Thursdays,2026-07-16T9:00 am,VCPA Learning Garden (in Van Cortlandt Park),,40.8939972,-73.8917568,nyc_parks_bigapps_events_snapshot,medium,Pin-quality correction: relocated pin into 'Van Cortlandt Park' park interior (parent context 'Van Cortlandt Park') for manual review only.,False,False,True,https://www.google.com/maps/search/?api=1&query=VCPA+Learning+Garden+%28in+Van+Cortlandt+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.8939972%2C-73.8917568,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,trail work thursdays|2026-07-16,2210377
6,parks_only,approved,False,"Arts, Culture and Fun: BE BOLDER: Senior Ballet Programming",2026-07-17T11:00 am,Multi-Use Room (in Williamsbridge Oval),,40.876733907,-73.878591092031,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=Multi-Use+Room+%28in+Williamsbridge+Oval%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.876733907%2C-73.878591092031,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,arts culture and fun be bolder senior ballet programming|2026-07-17,2178941
7,parks_only,approved,False,Groove & Glow,2026-07-17T5:00 pm,Multi-Use Room (in Asser Levy Playground),,40.73609924,-73.97570038,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=Multi-Use+Room+%28in+Asser+Levy+Playground%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.73609924%2C-73.97570038,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,groove glow|2026-07-17,2211513
8,parks_only,approved,False,Movies Under the Stars: Pitch Perfect (2012),2026-07-17T8:30 pm,Central Lawn (in Sunset Park),,40.648374914873,-74.004422426224,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=Central+Lawn+%28in+Sunset+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.648374914873%2C-74.004422426224,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,movies under the stars pitch perfect 2012|2026-07-17,2210942
9,parks_only,approved,False,Summer on the Hudson: Harlem Moves with Lim&#243;n Dance Company,2026-07-17T6:00 pm,125th Street and Marginal Street (in West Harlem Piers),,40.8197007,-73.9606548,nyc_parks_bigapps_events_snapshot,medium,Pin-quality correction: relocated pin into 'West Harlem Piers' park interior (parent context 'West Harlem Piers') for manual review only.,False,False,True,https://www.google.com/maps/search/?api=1&query=125th+Street+and+Marginal+Street+%28in+West+Harlem+Piers%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.8197007%2C-73.9606548,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,summer on the hudson harlem moves with lim 243 n dance company|2026-07-17,2152351
10,parks_only,approved,False,Zumba Gold&#174;,2026-07-17T9:00 am,Dance Room (in Constance Baker Motley Recreation Center),,40.75646973,-73.9651413,nyc_parks_bigapps_events_snapshot,high,Inline coordinates from NYC Parks BigApps events feed; manual review required before map merge.,False,False,True,https://www.google.com/maps/search/?api=1&query=Dance+Room+%28in+Constance+Baker+Motley+Recreation+Center%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.75646973%2C-73.9651413,location resolution engine pass,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00,zumba gold 174|2026-07-17,2138707
