review_rank,overlap_key,title,start_date_time,location,borough,lat,lng,has_coordinates,calendar_title_date_match,google_maps_search_url,google_maps_pin_url,manual_review_status,promotion_allowed,manual_review_notes,approval_decision_reason,source_event_id,link
1,07 24 wingate in person care captain training|2026-07-24,07/24 Wingate In-Person Care Captain Training,2026-07-24T10:00 am,Playground (in Hamilton Metz Field),,40.662422915957,-73.940331399441,True,True,https://www.google.com/maps/search/?api=1&query=Playground+%28in+Hamilton+Metz+Field%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.662422915957%2C-73.940331399441,pending,False,,,2195880,http://www.nycgovparks.org/events/2026/07/24/0724-wingate-inperson-care-captain-training
2,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-20,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-20T9:00 am,Arsenal (in Central Park),,40.767200469971,-73.971298217773,True,True,https://www.google.com/maps/search/?api=1&query=Arsenal+%28in+Central+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,2109928,http://www.nycgovparks.org/events/2026/07/20/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian
3,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-21,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-21T9:00 am,Arsenal (in Central Park),,40.767200469971,-73.971298217773,True,True,https://www.google.com/maps/search/?api=1&query=Arsenal+%28in+Central+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,2109929,http://www.nycgovparks.org/events/2026/07/21/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian
4,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-22,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-22T9:00 am,Arsenal (in Central Park),,40.767200469971,-73.971298217773,True,True,https://www.google.com/maps/search/?api=1&query=Arsenal+%28in+Central+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,2109930,http://www.nycgovparks.org/events/2026/07/22/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian
5,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-23,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-23T9:00 am,Arsenal (in Central Park),,40.767200469971,-73.971298217773,True,True,https://www.google.com/maps/search/?api=1&query=Arsenal+%28in+Central+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,2109931,http://www.nycgovparks.org/events/2026/07/23/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian
6,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-24,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-24T9:00 am,Arsenal (in Central Park),,40.767200469971,-73.971298217773,True,True,https://www.google.com/maps/search/?api=1&query=Arsenal+%28in+Central+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,2109932,http://www.nycgovparks.org/events/2026/07/24/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian
7,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-27,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-27T9:00 am,Arsenal (in Central Park),,40.767200469971,-73.971298217773,True,True,https://www.google.com/maps/search/?api=1&query=Arsenal+%28in+Central+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.767200469971%2C-73.971298217773,pending,False,,,2109933,http://www.nycgovparks.org/events/2026/07/27/40-in-focus-summerstage-through-the-lens-of-photographer-jack-vartoogian
8,7 18 forest park horticulture helpers|2026-07-18,7/18 Forest Park Horticulture Helpers,2026-07-18T10:00 am,Sobelsohn Playground (in Forest Park),,40.709525002939,-73.836108863354,True,True,https://www.google.com/maps/search/?api=1&query=Sobelsohn+Playground+%28in+Forest+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.709525002939%2C-73.836108863354,pending,False,,,2108840,http://www.nycgovparks.org/events/2026/07/18/328-forest-park-horticulture-helpers
9,7 25 vernal pond restoration at highland park|2026-07-25,7/25 Vernal Pond Restoration at Highland Park,2026-07-25T10:00 am,Vermont Place Parking Lot (in Highland Park),,40.686199188232,-73.889801025391,True,True,https://www.google.com/maps/search/?api=1&query=Vermont+Place+Parking+Lot+%28in+Highland+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.686199188232%2C-73.889801025391,pending,False,,,2165684,http://www.nycgovparks.org/events/2026/07/25/59-vernal-pond-restoration
10,a celebration and fundraiser|2026-07-19,A Celebration and Fundraiser,2026-07-19T4:00 pm,Sunset Community Garden,,40.709253,-73.9162526,True,False,https://www.google.com/maps/search/?api=1&query=Sunset+Community+Garden%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.709253%2C-73.9162526,pending,False,,,2211138,http://www.nycgovparks.org/events/2026/07/19/a-celebration-and-fundraiser
